ts,src,bytes,service
1749479348.133748,10.1.0.21,19,0.0001
1749479361.754810,10.1.0.21,19,0.0001
1749479375.847606,10.1.0.21,19,0.0000
1749479389.593086,10.1.0.21,19,0.0000
1749479403.514316,10.1.0.21,19,0.0001
1749479416.892835,10.1.0.21,19,0.0001
1749479429.588991,10.1.0.21,19,0.0001
1749479441.752914,10.1.0.21,19,0.0000
1749479454.393251,10.1.0.21,19,0.0000
1749479467.016472,10.1.0.21,19,0.0001
1749479479.661073,10.1.0.21,19,0.0000
1749479492.303009,10.1.0.21,19,0.0001
1749479504.592695,10.1.0.21,19,0.0001
1749479516.901764,10.1.0.21,19,0.0000
1749479529.053231,10.1.0.21,19,0.0001
1749479541.763328,10.1.0.21,19,0.0001
1749479565.237973,10.1.0.21,19,0.0001
1749479588.377283,10.1.0.21,19,0.0000
1749479611.943518,10.1.0.21,19,0.0001
1749479635.025001,10.1.0.21,19,0.0001
1749479658.314752,10.1.0.21,19,0.0001
1749479681.556409,10.1.0.21,19,0.0001
1749479705.089336,10.1.0.21,19,0.0001
1749479728.226679,10.1.0.21,19,0.0001
1749479751.452353,10.1.0.21,19,0.0000
1749479774.672727,10.1.0.21,19,0.0000
1749479793.175981,10.1.0.21,19,0.0001
1749479811.668833,10.1.0.21,19,0.0001
1749479830.156381,10.1.0.21,19,0.0000
1749479848.481288,10.1.0.21,19,0.0001
1749479867.335587,10.1.0.21,19,0.0000
1749479885.708484,10.1.0.21,19,0.0000
1749479904.185415,10.1.0.21,19,0.0001
1749479922.596276,10.1.0.21,19,0.0001
1749479941.003008,10.1.0.21,19,0.0000
1749479959.584764,10.1.0.21,19,0.0001
1749479975.870808,10.1.0.21,19,0.0001
1749479991.859304,10.1.0.21,19,0.0001
1749480007.657759,10.1.0.21,19,0.0000
1749480024.067883,10.1.0.21,19,0.0000
1749480040.208536,10.1.0.21,19,0.0001
1749480056.086530,10.1.0.21,19,0.0000
1749480072.057166,10.1.0.21,19,0.0001
1749480088.286112,10.1.0.21,19,0.0001
1749480104.274581,10.1.0.21,19,0.0001
1749480120.521709,10.1.0.21,19,0.0000
1749480151.041314,10.1.0.21,19,0.0001
1749480181.892932,10.1.0.21,19,0.0001
1749480212.433655,10.1.0.21,19,0.0001
1749480242.808974,10.1.0.21,19,0.0000
1749480273.776656,10.1.0.21,19,0.0001
1749480304.663453,10.1.0.21,19,0.0001
1749480335.166806,10.1.0.21,19,0.0000
1749480365.849594,10.1.0.21,19,0.0001
1749480396.235097,10.1.0.21,19,0.0001
1749480426.714502,10.1.0.21,19,0.0000
1749480450.374846,10.1.0.21,19,0.0001
1749480473.510143,10.1.0.21,19,0.0001
1749480497.148561,10.1.0.21,19,0.0001
1749480520.197976,10.1.0.21,19,0.0000
1749480543.793993,10.1.0.21,19,0.0000
1749480567.408703,10.1.0.21,19,0.0000
1749480590.920368,10.1.0.21,19,0.0000
1749480614.455826,10.1.0.21,19,0.0001
1749480638.083755,10.1.0.21,19,0.0000
1749480661.541725,10.1.0.21,19,0.0000
1749480681.074756,10.1.0.21,19,0.0000
1749480701.115864,10.1.0.21,19,0.0001
1749480721.053811,10.1.0.21,19,0.0001
1749480740.693933,10.1.0.21,19,0.0000
1749480760.233022,10.1.0.21,19,0.0001
1749480779.773849,10.1.0.21,19,0.0001
1749480799.343114,10.1.0.21,19,0.0001
1749480819.100579,10.1.0.21,19,0.0001
1749480838.994359,10.1.0.21,19,0.0001
