ts,dst,port,bytes,rtt
1749485305.761396,10.0.0.21,8888,19,0.2561
1749485318.924417,10.0.0.21,8888,19,0.0620
1749485332.394774,10.0.0.21,8888,19,0.1708
1749485344.410616,10.0.0.21,8888,19,0.1794
1749485355.988263,10.0.0.21,8888,19,0.1634
1749485367.603282,10.0.0.21,8888,19,0.1390
1749485379.253106,10.0.0.21,8888,19,0.2390
1749485391.357229,10.0.0.21,8888,19,0.0307
1749485403.112028,10.0.0.21,8888,19,0.1402
1749485415.155604,10.0.0.21,8888,19,0.1549
1749485427.412641,10.0.0.21,8888,19,0.0694
1749485439.055258,10.0.0.21,8888,19,0.1432
1749485450.745295,10.0.0.21,8888,19,0.1996
1749485461.460140,10.0.0.21,8888,19,0.0720
1749485473.070881,10.0.0.21,8888,19,0.1411
1749485484.272038,10.0.0.21,8888,19,0.1331
1749485495.120977,10.0.0.21,8888,19,0.0793
1749485506.258396,10.0.0.21,8888,19,0.0712
1749485517.576338,10.0.0.21,8888,19,0.1336
1749485529.050129,10.0.0.21,8888,19,0.0824
1749485540.314197,10.0.0.21,8888,19,0.0782
1749485551.931115,10.0.0.21,8888,19,0.1038
1749485563.240737,10.0.0.21,8888,19,0.1477
1749485582.027672,10.0.0.21,8888,19,0.0515
1749485600.004369,10.0.0.21,8888,19,0.1118
1749485618.116068,10.0.0.21,8888,19,0.0188
1749485635.364079,10.0.0.21,8888,19,0.0884
1749485653.285555,10.0.0.21,8888,19,0.1864
1749485670.652614,10.0.0.21,8888,19,0.3794
1749485688.883375,10.0.0.21,8888,19,0.0357
1749485706.415261,10.0.0.21,8888,19,0.0963
1749485723.974025,10.0.0.21,8888,19,0.0913
1749485741.446169,10.0.0.21,8888,19,0.1113
1749485757.502235,10.0.0.21,8888,19,0.1077
1749485772.799898,10.0.0.21,8888,19,0.1973
1749485786.882014,10.0.0.21,8888,19,0.0955
1749485801.037015,10.0.0.21,8888,19,0.0954
1749485816.241401,10.0.0.21,8888,19,0.1078
1749485830.404946,10.0.0.21,8888,19,0.0650
